county,license_number,operation_type,establishment_type,entity_name,dba_name,street_number,street_name,address_line_2,address_line_3,city,state,zip_code,square_footage,location,geom,borough,street_name_normalized
New York,723002,Store,JAC   ,SANA DELL CORP                   ,SANA DELL              ,404,8TH AVENUE                   ,             ,               ,NEW YORK          ,NY,10001,0,"404 8TH AVENUE
NEW YORK, NY 10001
(40.749814, -73.995178)",0101000020E61000006C8AF20EB17F52C0725215E4F95F4440,Manhattan,
New York,729281,Store,JAC   ,SANTIAGO FOOD CENTER INC         ,SANTIAGO FOOD CENTER   ,3680,BROADWAY                    ,             ,               ,NEW YORK          ,NY,10031,0,"3680 BROADWAY
NEW YORK, NY 10031
(40.830895, -73.947057)",0101000020E610000064B00B8B9D7C52C0776FF98A5D6A4440,Manhattan,
New York,730155,Store,A     ,TYME FOOD INC                    ,TYME FOOD              ,353,W 14TH STREET          ,             ,               ,NEW YORK          ,NY,10014,0,"353 W 14TH STREET
NEW YORK, NY 10014
(40.729817, -74.01048)",0101000020E6100000F8BD0E1B438052C088671035C65E4440,Manhattan,
New York,729754,Store,JAC   ,SUPERIOR GOURMET MARKETPLACE INC ,SUPERIOR GOURMET MARKET,555,10TH AVE                     ,             ,               ,NEW YORK          ,NY,10018,0,"555 10TH AVE
NEW YORK, NY 10018
(40.758687, -73.996154)",0101000020E6100000AA37CCD3BE7F52C00F44AC3B23614440,Manhattan,
New York,733893,Store,A     ,CVS ALBANY LLC                   ,CVS/PHARMACY #10970    ,305,E 86TH ST                    ,             ,               ,NEW YORK          ,NY,10028,0,"305 E 86TH ST
NEW YORK, NY 10028
(40.777819, -73.951597)",0101000020E610000002657F53E27C52C088885DCB8B634440,Manhattan,
New York,735024,Store,A     ,CVS ALBANY LLC                   ,CVS/PHARMACY #10827    ,3536,BROADWAY                ,             ,               ,NEW YORK          ,NY,10031,0,"3536 BROADWAY
NEW YORK, NY 10031
(40.826252, -73.950447)",0101000020E6100000C5B43BD8D57C52C082990759C3694440,Manhattan,
New York,735185,Store,JAC   ,PT FOOD CORP                     ,PARK TERRACE DELI      ,510,W 218TH ST                   ,             ,               ,NEW YORK          ,NY,10034,0,"510 W 218TH ST
NEW YORK, NY 10034
(40.871443, -73.914667)",0101000020E610000095F1302B8B7A52C02F9F350A8C6F4440,Manhattan,
New York,725122,Store,A     ,JUICE PRESS LLC THE              ,JUICE PRESS EQ22       ,315,PARK AVE SOUTH               ,             ,               ,NEW YORK          ,NY,10010,0,"315 PARK AVE SOUTH
NEW YORK, NY 10010
(40.74071, -73.985913)",0101000020E61000006755F45D1B7F52C08943424CCC5E4440,Manhattan,
New York,724986,Store,JAC   ,LEGACY GOURMET DELI CORP         ,LEGACY GOURMET DELI    ,153,ESSEX STREET                 ,             ,               ,NEW YORK          ,NY,10002,0,"153 ESSEX STREET
NEW YORK, NY 10002
(40.720801, -73.987051)",0101000020E610000098402BDF2C7F52C0623A36843F5C4440,Manhattan,
Kings,727097,Store,JAC   ,E & V DELI GROCERY CORP          ,E & V DELI GROCERY     ,272,JAMAICA AVE                  ,             ,               ,BROOKLYN          ,NY,11207,0,"272 JAMAICA AVE
BROOKLYN, NY 11207
(40.681078, -73.891276)",0101000020E610000076B5D3950A7952C0D0AB4E462D574440,Brooklyn,
Kings,724559,Store,JAC   ,NEW WAY DELI CORP 1              ,NEW WAY DELI           ,191,YORK STREET                  ,             ,               ,BROOKLYN          ,NY,11201,0,"191 YORK STREET
BROOKLYN, NY 11201
(40.701378, -73.983199)",0101000020E6100000AF5A64FEEB7E52C035EFEDDBC6594440,Brooklyn,
New York,722672,Store,JAC   ,CARIBBEAN FRIEND FOOD CORP       ,CARIBBEAN FRIEND FOOD C,3462,BROADWAY                    ,             ,               ,NEW YORK          ,NY,10031,0,"3462 BROADWAY
NEW YORK, NY 10031
(40.82411, -73.952015)",0101000020E610000081392646F07C52C0F0F11CE17A694440,Manhattan,
Queens,671214,Store,JAC   ,28TH AVENUE DELI&GROCERY INC     ,28TH AVENUE DELI&GRCY  ,40-11,28TH AVE                   ,             ,               ,ASTORIA           ,NY,11103,0,"40 11 28TH AVE
ASTORIA, NY 11103
(40.773158, -73.931929)",0101000020E6100000E58F2A09777A52C0709D94C4F8614440,Queens,
Kings,729959,Store,A     ,G 200 GROCERY INC                ,G 200 GROCERY          ,200,FLATBUSH AVE                 ,             ,               ,BROOKLYN          ,NY,11217,0,"200 FLATBUSH AVE
BROOKLYN, NY 11217
(40.681623, -73.975682)",0101000020E6100000A22D8A06707E52C0761EBE903A574440,Brooklyn,
New York,727649,Store,A     ,PRETTY SWEETIES LLC              ,PRETTY SWEETIES        ,200,BROADWAY                     ,             ,               ,NEW YORK          ,NY,10038,0,"200 BROADWAY
NEW YORK, NY 10038
(40.710817, -74.009111)",0101000020E6100000B2A75B3D998052C022729ABFF25A4440,Manhattan,
Kings,731942,Store,JAC   ,MILADYS SUPER DELI CORP          ,MILADYS SUPER DELI     ,280,E 92ND STREET                ,             ,               ,BROOKLYN          ,NY,11212,0,"280 E 92ND STREET
BROOKLYN, NY 11212
(40.658542, -73.923813)",0101000020E61000004679C01E1E7B52C0BFFCDAAA47544440,Brooklyn,
New York,730640,Store,JAC   ,ALEXANDER'S 145 DELI CORP        ,ALEXANDER'S 145 DELI   ,561,WEST 145TH STREET            ,             ,               ,NEW YORK          ,NY,10031,0,"561 WEST 145TH STREET
NEW YORK, NY 10031
(40.826173, -73.94984)",0101000020E6100000747F9169BF7C52C08553C646B7694440,Manhattan,
Kings,717584,Store,JAC   ,C B DELI GROCERY CORP            ,C B DELI GROCERY       ,194,KINGSLAND AVE                ,             ,               ,BROOKLYN          ,NY,11222,0,"194 KINGSLAND AVE
BROOKLYN, NY 11222
(40.723481, -73.941294)",0101000020E61000008E9406A63E7C52C0ED53759AA35C4440,Brooklyn,
New York,728132,Store,JAC   ,WEST VILLAGE FINEST DELI CORP    ,WEST VILLAGE FINEST DEL,84,7TH AVENUE SOUTH              ,             ,               ,NEW YORK          ,NY,10014,0,"84 7TH AVENUE SOUTH
NEW YORK, NY 10014
(40.732668, -74.003344)",0101000020E6100000EEADA473378052C0278AA49EC45D4440,Manhattan,
Kings,672272,Store,JAC   ,GLENWOOD DELI INC                ,GLENWOOD DELI          ,2816,GLENWOOD RD                 ,             ,               ,BROOKLYN          ,NY,11210,0,"2816 GLENWOOD RD
BROOKLYN, NY 11210
(40.634298, -73.949786)",0101000020E6100000CBB15B14CD7C52C0F99F4AB62B514440,Brooklyn,
Kings,618564,Store,JAC   ,FEDE GROCERY CORP                ,FEDE GROCERY           ,787,MACDONOUGH ST                ,             ,               ,BROOKLYN          ,NY,11233,0,"787 MACDONOUGH ST
BROOKLYN, NY 11233
(40.684325, -73.914919)",0101000020E610000056B1C0EC917A52C02E2FE52997574440,Brooklyn,
Queens,730350,Store,JAC   ,6408 DELI & GROCERY CORP         ,6408 DELI & GROCERY    ,6408,BEACH CHANNEL DRIVE         ,             ,               ,ARVERNE           ,NY,11692,0,"6408 BEACH CHANNEL DRIVE
ARVERNE, NY 11692
(40.592999, -73.793662)",0101000020E610000071FBA4E5C77252C008623EF8E74B4440,Queens,
Kings,718568,Store,JAC   ,"DILLY, DELI INC                  ","DILLY , DELI           ",1806,STILLWELL AVE               ,             ,               ,BROOKLYN          ,NY,11223,0,"1806 STILLWELL AVE
BROOKLYN, NY 11223
(40.60235, -73.986329)",0101000020E610000015AA95AD207F52C04929931B1F4D4440,Brooklyn,
Kings,733954,Store,A     ,BOLLA OPERATING CORP             ,CATON & CONEY CAR CARE ,378,CONEY ISLAND AVE             ,             ,               ,BROOKLYN          ,NY,11218,0,"378 CONEY ISLAND AVE
BROOKLYN, NY 11218
(40.648535, -73.971555)",0101000020E6100000786C7CCC2D7E52C0D43852B809534440,Brooklyn,
Kings,709868,Store,JAC   ,RODRIGUEZ SONIA                  ,BROADWAY DELI GROCERY  ,905,BROADWAY                     ,             ,               ,BROOKLYN          ,NY,11206,0,"905 BROADWAY
BROOKLYN, NY 11206
(40.697756, -73.93664)",0101000020E6100000072882F9F17B52C0297397AF50594440,Brooklyn,
Kings,723216,Store,JAC   ,ZUDY 59                          ,ZUDY 59                ,59,LAFAYETTE AVENUE          ,             ,               ,BROOKLYN          ,NY,11217,0,"59 LAFAYETTE AVENUE
BROOKLYN, NY 11217
(40.687051, -73.976075)",0101000020E610000041A1F0AA767E52C08854E86AF1574440,Brooklyn,
Queens,704526,Store,JAC   ,MOM & SON INC                    ,MOM & SON              ,107-33,71ST AVE                  ,             ,               ,FOREST HILLS      ,NY,11375,0,"107 33 71ST AVE
FOREST HILLS, NY 11375
(40.71647, -73.847129)",0101000020E610000053934ECF0C7652C00E1ACF5E3C5C4440,Queens,
Kings,616867,Store,JABCH ,NARALA BAKERY INC                ,NARALA BAKERY          ,744,CONEY ISLAND AVE             ,             ,               ,BROOKLYN          ,NY,11218,0,"744 CONEY ISLAND AVE
BROOKLYN, NY 11218
(40.639415, -73.968849)",0101000020E610000067DB7896017E52C0E9DC226DD9514440,Brooklyn,
Queens,708116,Store,JAC   ,JOSE FINA MINI MARKET INC        ,JOSE FINA MINI MARKET  ,8440,GRAND AVE                   ,             ,               ,ELMHURST          ,NY,11373,0,"8440 GRAND AVE
ELMHURST, NY 11373
(40.734429, -73.882748)",0101000020E61000005F2DD4697F7852C098467D5D005E4440,Queens,
Kings,731129,Store,A     ,MUHAMMAD ABBAS                   ,ESSENTIAL PALACE       ,560,ATLANTIC AVE                 ,             ,               ,BROOKLYN          ,NY,11217,0,"560 ATLANTIC AVE
BROOKLYN, NY 11217
(40.684727, -73.979182)",0101000020E6100000D4C8AB8EAC7E52C0EF2C873FA6574440,Brooklyn,
New York,734262,Store,JAC   ,EVERGREEN 206 INC                ,EVERGREEN 206          ,476,6TH AVENUE             ,             ,               ,NEW YORK          ,NY,10011,0,"476 6TH AVENUE
NEW YORK, NY 10011
(40.735843, -73.997944)",0101000020E610000076DE09A8DE7F52C05BA4FCA82E5E4440,Manhattan,
Queens,720259,Store,JAC   ,MAHARAJ MATAJI CORPORATION       ,MASPETH EXPRESS MINIMAR,6928,GRAND AVE                   ,             ,               ,MASPETH           ,NY,11378,0,"6928 GRAND AVE
MASPETH, NY 11378
(40.726406, -73.894531)",0101000020E61000009A9750743E7952C0DFD79E5BFC5C4440,Queens,
New York,703891,Store,A     ,ALDI INC                         ,ALDI #2                ,517,E 117TH ST               ,             ,               ,NEW YORK          ,NY,10035,21,"517 E 117TH ST
NEW YORK, NY 10035
(40.795426, -73.931932)",0101000020E61000002B93CB93AC7B52C0E52A7053D7654440,Manhattan,
Kings,719163,Store,JAC   ,WOODRUFF FINEST GROCERY CORP     ,WOODRUFF FINEST GROCERY,180,WOODRUFF AVE                 ,             ,               ,BROOKLYN          ,NY,11226,0,"180 WOODRUFF AVE
BROOKLYN, NY 11226
(40.654752, -73.960013)",0101000020E6100000B7923392717D52C092C1DB51CD534440,Brooklyn,
Queens,725316,Store,JAC   ,101 HALAL DELI & GRILL INC       ,101 HALAL DELI & GRILL ,11719,101ST AVENUE               ,             ,               ,SOUTH RICHMOND HIL,NY,11419,0,"11719 101ST AVENUE
SOUTH RICHMOND HIL, NY 11419
(40.689667, -73.826999)",0101000020E6100000D8094413F57452C0F6978B2743584440,Queens,
Kings,721941,Store,JAC   ,BK TOBACCO SHOP CORP             ,BK TOBACCO SHOP        ,1451,NOSTRAND AVENUE             ,             ,               ,BROOKLYN          ,NY,11226,0,"1451 NOSTRAND AVENUE
BROOKLYN, NY 11226
(40.650999, -73.949593)",0101000020E6100000EBAFD8D8C57C52C079B0390E52534440,Brooklyn,
Kings,723400,Store,JAC   ,CABREJA DELI GROCERY CORP        ,CABREJA DELI GROCERY   ,430,MOTHER GASTON BLVD           ,             ,               ,BROOKLYN          ,NY,11212,0,"430 MOTHER GASTON BLVD
BROOKLYN, NY 11212
(40.668524, -73.906595)",0101000020E61000004E5DA90A057A52C0D6C8CE9D90554440,Brooklyn,
New York,720534,Store,JAC   ,89TH STREET MARKET INC           ,MILANO MARKET          ,1582,3RD AVE                     ,             ,               ,NEW YORK          ,NY,10128,0,"1582 3RD AVE
NEW YORK, NY 10128
(40.780626, -73.952637)",0101000020E6100000805D13F3F87C52C081AC20F8EA634440,Manhattan,
New York,729956,Store,JAC   ,YELLOW BANANA DELI CORPORATION   ,YELLOW BANANA          ,3623,BROADWAY                ,             ,               ,NEW YORK          ,NY,10031,0,"3623 BROADWAY
NEW YORK, NY 10031
(40.829231, -73.948534)",0101000020E610000002FC244DB47C52C07EDAAD50206A4440,Manhattan,
Kings,710183,Store,A     ,CORNER Z SUPER MARKET INC        ,Z AMAZING DEALS        ,2845,CONEY ISLAND AVE            ,             ,               ,BROOKLYN          ,NY,11235,0,"2845 CONEY ISLAND AVE
BROOKLYN, NY 11235
(40.587073, -73.960277)",0101000020E610000025C57002767D52C07989B2BA234B4440,Brooklyn,
Kings,610390,Store,JAC   ,1102 8TH AVE FOOD OF NY CORP     ,1102 8TH AVE FOOD OF NY,1102,8TH AVE                     ,             ,               ,BROOKLYN          ,NY,11215,0,"1102 8TH AVE
BROOKLYN, NY 11215
(40.66454, -73.980228)",0101000020E61000005F06C66EBD7E52C01BD349F60C554440,Brooklyn,
Kings,733280,Store,JAC   ,GOURMET DELI & GRILL CORP I      ,GOURMET DELI & GRILL   ,751,4TH AVE                      ,             ,               ,BROOKLYN          ,NY,11232,0,"751 4TH AVE
BROOKLYN, NY 11232
(40.660357, -73.998022)",0101000020E610000061AB7496E17F52C06FA3E8D585544440,Brooklyn,
New York,622708,Store,JAC   ,BOR KEE FOOD MARKET INC          ,BOR KEE FOOD MARKET    ,241,GRAND ST                     ,             ,               ,NEW YORK          ,NY,10002,0,"241 GRAND ST
NEW YORK, NY 10002
(40.718359, -73.994476)",0101000020E61000007D5985CEA57F52C06C4C14D1F25B4440,Manhattan,
Queens,715986,Store,JAC   ,40TH AVE GOURMET DELI CORP       ,F&Z 40TH AVE GOURMET DE,1313,40TH AVE                    ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"1313 40TH AVE
LONG ISLAND CITY, NY 11101
(40.755632, -73.942018)",0101000020E610000093CD6D6B487C52C0B50B0B47B7604440,Queens,
Richmond,732807,Store,JAC   ,ZAYTONA HALAL SUPERMARKET INC    ,MECCA MARKET           ,2256,FOREST AVE                  ,             ,               ,STATEN ISLAND     ,NY,10303,0,"2256 FOREST AVE
STATEN ISLAND, NY 10303
(40.627066, -74.165154)",0101000020E610000031CD248D898A52C03AEC623C41504440,Staten Island,
New York,720248,Store,JABC  ,DANS SUPREME SUPERMARKETS INC    ,KEY FOOD # 1533        ,1175,3RD AVE                     ,             ,               ,NEW YORK          ,NY,10065,0,"1175 3RD AVE
NEW YORK, NY 10065
(40.767496, -73.962232)",0101000020E6100000B7968051967D52C0CB76C4343A624440,Manhattan,
Kings,719258,Store,A     ,DOLLAR TREE STORES INC           ,DOLLAR TREE # 06153    ,1720,ATLANTIC AVE                ,             ,               ,BROOKLYN          ,NY,11213,0,"1720 ATLANTIC AVE
BROOKLYN, NY 11213
(40.677498, -73.933573)",0101000020E61000001F3BFFA0C47B52C0EDAA2B92BB564440,Brooklyn,
Queens,728619,Store,A     ,CVS ALBANY LLC                   ,CVS/PHARMACY #11060    ,1-50,50TH AVENUE           ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"1 50 50TH AVENUE
LONG ISLAND CITY, NY 11101
(40.743752, -73.959343)",0101000020E6100000918CFA3F5E7D52C01EB50AA62F5F4440,Queens,
Richmond,735067,Store,JAC   ,GARYS LINCOLN SUPERETTE CORP     ,GARYS LINCOLN SUPERETTE,114,LINCOLN AVE                  ,             ,               ,STATEN ISLAND     ,NY,10306,0,"114 LINCOLN AVE
STATEN ISLAND, NY 10306
(40.579347, -74.108632)",0101000020E6100000C00F2684F08652C040422348244A4440,Staten Island,
Bronx,728163,Store,JAC   ,1 LALY DELI GROCERY CORP         ,1 LALY DELI GROCERY    ,147,WEST 168TH STREET            ,             ,               ,BRONX             ,NY,10452,0,"147 WEST 168TH STREET
BRONX, NY 10452
(40.838495, -73.926049)",0101000020E6100000DCDCC7B2417B52C03FAA8FAE536B4440,Bronx,
Bronx,720432,Store,JAC   ,AMERICAN GOURMET DELI GROCERY INC,AMERICAN GOURMET DELI G,1500,CASTLE HILL AVENUE          ,             ,               ,BRONX             ,NY,10462,0,"1500 CASTLE HILL AVENUE
BRONX, NY 10462
(40.836419, -73.852223)",0101000020E61000003416A5B18A7652C07CC19FC8106B4440,Bronx,
Queens,734656,Store,JAC   ,J LINE 85TH DELI CORP            ,J LINE 85TH DELI       ,8502,JAMAICA AVE                 ,             ,               ,WOODHAVEN         ,NY,11421,0,"8502 JAMAICA AVE
WOODHAVEN, NY 11421
(40.692533, -73.858866)",0101000020E6100000D44FC5F7F87652C0C2C2E66FA4584440,Queens,
Kings,724736,Store,JAC   ,1602 FULTON DELI CORP            ,1602 FULTON DELI       ,1602,FULTON ST                   ,             ,               ,BROOKLYN          ,NY,11213,0,"1602 FULTON ST
BROOKLYN, NY 11213
(40.679697, -73.936746)",0101000020E6100000C3F655A9F07B52C02EE5A39DFF564440,Brooklyn,
Kings,732106,Store,JAC   ,ADEN DELI & GRILL V INC          ,ADEN DELI & GRILL V    ,1376,ROCKAWAY PKWY               ,             ,               ,BROOKLYN          ,NY,11236,0,"1376 ROCKAWAY PKWY
BROOKLYN, NY 11236
(40.646191, -73.90348)",0101000020E610000027E831F5D37952C0F31E5C03B8524440,Brooklyn,
New York,627532,Store,JAC   ,SYUKAKU INC                      ,WEST SIDE MARKET       ,2840,BROADWAY              ,             ,               ,NEW YORK          ,NY,10025,30,"2840 BROADWAY
NEW YORK, NY 10025
(40.804389, -73.966423)",0101000020E6100000FC8FF184DC7D52C00D24237CF3664440,Manhattan,
Kings,735027,Store,A     ,KUAI AN GROCERY INC              ,KUAI AN GROCERY        ,5001,6TH AVE                     ,             ,               ,BROOKLYN          ,NY,11220,0,"5001 6TH AVE
BROOKLYN, NY 11220
(40.643687, -74.0082)",0101000020E6100000166DC240868052C081ED936C64524440,Brooklyn,
Kings,719714,Store,JAC   ,QUICK DELI INC                   ,QUICK DELI             ,5310,4TH AVENUE                  ,             ,               ,BROOKLYN          ,NY,11220,0,"5310 4TH AVENUE
BROOKLYN, NY 11220
(40.644601, -74.014624)",0101000020E61000008E9F88ECEC8052C0EF5E529A84524440,Brooklyn,
Kings,718954,Store,JAC   ,WILLIAM ORGANIC MARKET INC       ,WILLIAM ORGANIC MARKET ,296,LEONARD ST                   ,             ,               ,BROOKLYN          ,NY,11211,0,"296 LEONARD ST
BROOKLYN, NY 11211
(40.714356, -73.947735)",0101000020E6100000E91505B0A77C52C0F47610EB705B4440,Brooklyn,
Kings,730351,Store,JAC   ,FLATBUSH MARKET INC              ,FLATBUSH MARKET        ,752,FLATBUSH AVE                 ,             ,               ,BROOKLYN          ,NY,11226,0,"752 FLATBUSH AVE
BROOKLYN, NY 11226
(40.654537, -73.959639)",0101000020E6100000DD210A8C6A7D52C029123097C4534440,Brooklyn,
New York,725704,Store,JAC   ,MARIH DELI GROCERY INC           ,MARIH DELI GROCERY     ,2371,2ND AVENUE                  ,             ,               ,NEW YORK          ,NY,10035,0,"2371 2ND AVENUE
NEW YORK, NY 10035
(40.800645, -73.93511)",0101000020E6100000708A03F2D97B52C09444AB2175664440,Manhattan,
Queens,724344,Store,JAC   ,BHAKTIGI 61 INC                  ,STOP N GO CONV         ,3958,61ST ST                     ,             ,               ,WOODSIDE          ,NY,11377,0,"3958 61ST ST
WOODSIDE, NY 11377
(40.745706, -73.903339)",0101000020E6100000624F8B1ED07952C0093F9B12755F4440,Queens,
Kings,718191,Store,JAC   ,DELIZIOUS DELI CORP              ,DELIZROUS DELI         ,5124,4TH AVE                     ,             ,               ,BROOKLYN          ,NY,11220,0,"5124 4TH AVE
BROOKLYN, NY 11220
(40.645479, -74.013715)",0101000020E6100000957A6CCDDA8052C00FB2166AA7524440,Brooklyn,
Richmond,719410,Store,JAC   ,SHARP DELI & GROCERY CORP        ,SHARP DELI & GROCERY   ,1616,CASTLETON AVE               ,             ,               ,STATEN ISLAND     ,NY,10302,0,"1616 CASTLETON AVE
STATEN ISLAND, NY 10302
(40.636094, -74.137183)",0101000020E61000009C3410F9C58852C0CD4832236B514440,Staten Island,
New York,728108,Store,JAC   ,GRAMACY FRESH DELI INC           ,GRAMACY FRESH DELI     ,71,LEXINGTON AVE                 ,             ,               ,NEW YORK          ,NY,10010,0,"71 LEXINGTON AVE
NEW YORK, NY 10010
(40.741112, -73.98358)",0101000020E61000001FF70646F27E52C0D5325C18DE5E4440,Manhattan,
New York,629417,Store,JAC   ,NDL FOOD INC                     ,7-ELEVEN STORE 35472A  ,110,LAFAYETTE ST           ,             ,               ,NEW YORK          ,NY,10013,0,"110 LAFAYETTE ST
NEW YORK, NY 10013
(40.718178, -74.000746)",0101000020E61000009CF5CA790D8052C0CB4D2889EB5B4440,Manhattan,
Bronx,712179,Store,A     ,DISCOUNT CRONTONA INC            ,DISCOUNT CROTONA       ,1967,CROTONA AVE                 ,             ,               ,BRONX             ,NY,10457,0,"1967 CROTONA AVE
BRONX, NY 10457
(40.845876, -73.890741)",0101000020E610000083E321B0037952C098D3948E416C4440,Bronx,
New York,729313,Store,A     ,AMERICAN DISCOUNT INC            ,AMERICAN DISCOUNT      ,2067,AMSTERDAM AVE               ,             ,               ,NEW YORK          ,NY,10032,0,"2067 AMSTERDAM AVE
NEW YORK, NY 10032
(40.836101, -73.939675)",0101000020E61000003955C48E227C52C0CF22FC50076B4440,Manhattan,
New York,724148,Store,JAC   ,WEST PARK DELI INC               ,WEST PARK DELI         ,19,W 103RD ST                    ,             ,               ,NEW YORK          ,NY,10025,0,"19 W 103RD ST
NEW YORK, NY 10025
(40.796603, -73.962629)",0101000020E61000003A28BEA99A7D52C07A9220CEF6654440,Manhattan,
New York,734600,Store,JAC   ,JUICE PRESS LLC THE              ,JUICE PRESS            ,330,E 61ST ST                    ,             ,               ,NEW YORK          ,NY,10065,0,"330 E 61ST ST
NEW YORK, NY 10065
(40.761332, -73.962185)",0101000020E61000006A5983A7937D52C00635C27272614440,Manhattan,
New York,727441,Store,JAC   ,MSC NEW YORK INC                 ,MSC NEW YORK           ,633,COLUMBUS AVE                 ,             ,               ,NEW YORK          ,NY,10024,0,"633 COLUMBUS AVE
NEW YORK, NY 10024
(40.789923, -73.969668)",0101000020E6100000F0A6F023147E52C04C40DD920D654440,Manhattan,
New York,733392,Store,A     ,JR AUTO SERVICE CORP             ,GLOBAL CONVENIENCE STOR,89,ST NICHOLAS PL                ,             ,               ,NEW YORK          ,NY,10032,0,"89 ST NICHOLAS PL
NEW YORK, NY 10032
(40.830091, -73.94039)",0101000020E610000050661F46317C52C09FA280733A6A4440,Manhattan,
New York,732665,Store,JAC   ,OMEYA SALAD BAR & DELI CORP      ,OMAYA SALAD BAR & DELI ,351,WEST 125 ST                  ,             ,               ,NEW YORK          ,NY,10027,0,"351 WEST 125 ST
NEW YORK, NY 10027
(40.810896, -73.952889)",0101000020E61000001B3E0A9CFA7C52C005D4105FCA674440,Manhattan,
New York,727442,Store,JAC   ,JUICE PRESS LLC THE              ,JUICE PRESS EQ20       ,897,BROADWAY                     ,             ,               ,NEW YORK          ,NY,10005,0,"897 BROADWAY
NEW YORK, NY 10005
(40.738936, -73.989812)",0101000020E6100000AB3E4955597F52C0E1250428975E4440,Manhattan,
New York,732823,Store,JAC   ,SAEED DELI GROCERY CORP          ,SAEED DELI GROCERY     ,1734,AMSTERDAM AVENUE            ,             ,               ,NEW YORK          ,NY,10031,0,"1734 AMSTERDAM AVENUE
NEW YORK, NY 10031
(40.825801, -73.947189)",0101000020E6100000FC74C29F9F7C52C0EEC4131FB2694440,Manhattan,
New York,724422,Store,JAC   ,DELI AND TOBACCO CORP            ,DELI AND TOBACCO       ,375,1ST AVE                      ,             ,               ,NEW YORK          ,NY,10010,0,"375 1ST AVE
NEW YORK, NY 10010
(40.736136, -73.979075)",0101000020E6100000B2B93CAFA77E52C0AC5391C5375E4440,Manhattan,
New York,727220,Store,JAC   ,MACOMBS 1 DELI GROCERY INC       ,MACOMBS 1 DELI GROCERY ,67,MACOMBS PLACE                 ,             ,               ,NEW YORK          ,NY,10039,0,"67 MACOMBS PLACE
NEW YORK, NY 10039
(40.826895, -73.937435)",0101000020E61000008F61A362FB7B52C0F0A6A370D9694440,Manhattan,
New York,733512,Store,JAC   ,360 DELI CORP                    ,360 DELI               ,360,WEST 110TH STREET            ,             ,               ,NEW YORK          ,NY,10025,0,"360 WEST 110TH STREET
NEW YORK, NY 10025
(40.801161, -73.959856)",0101000020E61000004ABAA2E7717D52C0627B634892664440,Manhattan,
New York,720114,Store,JAC   ,COZY GOURMET INC                 ,COZY GOURMET           ,565,GRAND ST                     ,             ,               ,NEW YORK          ,NY,10002,0,"565 GRAND ST
NEW YORK, NY 10002
(40.713931, -73.979816)",0101000020E61000002BBD9242B27E52C01468ACCC5F5B4440,Manhattan,
Queens,732183,Store,JAC   ,SKYLIGHT HOLDINGS 4 INC          ,FOOD UNIVERSE MARKETPLA,3414,STEINWAY STREET             ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"3414 STEINWAY STREET
LONG ISLAND CITY, NY 11101
(40.756113, -73.921329)",0101000020E610000042AB74B8F47A52C03AAA1E59CE604440,Queens,
Richmond,735163,Store,JAC   ,EMOKPAE AUGUSTA                  ,PEACE INTERNATIONAL MAR,3240,RICHMOND TERRACE          ,             ,               ,STATEN ISLAND     ,NY,10303,0,"3240 RICHMOND TERRACE
STATEN ISLAND, NY 10303
(40.640291, -74.166081)",0101000020E6100000F1B69D79A38A52C0D9DA97BCF5514440,Staten Island,
Richmond,721380,Store,A     ,ISLAND 99C PLUS CORP             ,ISLAND 99C PLUS        ,225,BROAD STREET                 ,             ,               ,STATEN ISLAND     ,NY,10304,0,"225 BROAD STREET
STATEN ISLAND, NY 10304
(40.623805, -74.082274)",0101000020E6100000E8388AF6408552C07D7CC41BD94F4440,Staten Island,
Richmond,725443,Store,JAC   ,CHARLESTON QUICK-STOP DELI INC   ,CHARLESTON QUICK STOP 0,4707,ARTHUR KILL RD              ,             ,               ,STATEN ISLAND     ,NY,10309,0,"4707 ARTHUR KILL RD
STATEN ISLAND, NY 10309
(40.528039, -74.239371)",0101000020E6100000002E09D7518F52C0DB0ED52992434440,Staten Island,
Richmond,732849,Store,JAC   ,J&PM THREE SERVICES CORP         ,J&PM THREE SERVICES    ,2111,HYLAN BLVD                  ,             ,               ,STATEN ISLAND     ,NY,10306,0,"2111 HYLAN BLVD
STATEN ISLAND, NY 10306
(40.578927, -74.101361)",0101000020E61000000DE724D87B8652C00BB5143B1B4A4440,Staten Island,
Bronx,728661,Store,JAC   ,A1 TOBACCO SHOP INC              ,A1 TOBACCO SHOP        ,950,ANDERSON AVE                 ,             ,               ,BRONX             ,NY,10452,0,"950 ANDERSON AVE
BRONX, NY 10452
(40.830974, -73.928115)",0101000020E6100000D76135A7657B52C063E6265D5F6A4440,Bronx,
Richmond,724200,Store,A     ,WALGREEN EASTERN CO INC          ,WALGREENS #15160       ,655,ROSSVILLE AVE                ,             ,               ,STATEN ISLAND     ,NY,10309,0,"655 ROSSVILLE AVE
STATEN ISLAND, NY 10309
(40.542398, -74.208266)",0101000020E6100000FDB5C752558D52C04C1113E673454440,Staten Island,
